AnnoA;AteneoNOME;AteneoCOD;SESSO;Isc
2020/2021;Aosta;701;F;719
2020/2021;Aosta;701;M;320
2020/2021;Bari;7201;F;26335
2020/2021;Bari;7201;M;15773
2020/2021;Bari Politecnico;7202;F;2994
2020/2021;Bari Politecnico;7202;M;6941
2020/2021;Basilicata;7601;F;3536
2020/2021;Basilicata;7601;M;2551
2020/2021;Benevento Giustino Fortunato - telematica;6202;F;944
2020/2021;Benevento Giustino Fortunato - telematica;6202;M;859
2020/2021;Bergamo;1601;F;13107
2020/2021;Bergamo;1601;M;7733
2020/2021;Bologna;3701;F;45890
2020/2021;Bologna;3701;M;35962
2020/2021;Bolzano;2101;F;2816
2020/2021;Bolzano;2101;M;1241
2020/2021;Bra Scienze Gastronomiche;401;F;193
2020/2021;Bra Scienze Gastronomiche;401;M;194
2020/2021;Brescia;1701;F;6819
2020/2021;Brescia;1701;M;7911
2020/2021;Cagliari;9201;F;14618
2020/2021;Cagliari;9201;M;10106
2020/2021;Calabria;7801;F;14044
2020/2021;Calabria;7801;M;10107
2020/2021;Camerino;4302;F;3072
2020/2021;Camerino;4302;M;3415
2020/2021;Casamassima - G.Degennaro;7203;F;639
2020/2021;Casamassima - G.Degennaro;7203;M;931
2020/2021;Cassino;6001;F;3773
2020/2021;Cassino;6001;M;3262
2020/2021;Castellanza LIUC;1201;F;966
2020/2021;Castellanza LIUC;1201;M;1798
2020/2021;Catania;8701;F;21946
2020/2021;Catania;8701;M;16051
2020/2021;Catanzaro;7901;F;6649
2020/2021;Catanzaro;7901;M;4142
2020/2021;Chieti e Pescara;6901;F;14655
2020/2021;Chieti e Pescara;6901;M;7953
2020/2021;Enna KORE;8601;F;3285
2020/2021;Enna KORE;8601;M;1544
2020/2021;Ferrara;3801;F;15030
2020/2021;Ferrara;3801;M;10156
2020/2021;Firenze;4801;F;31055
2020/2021;Firenze;4801;M;22571
2020/2021;Firenze IUL - telematica;4804;F;470
2020/2021;Firenze IUL - telematica;4804;M;188
2020/2021;Foggia;7101;F;7172
2020/2021;Foggia;7101;M;4207
2020/2021;Genova;1001;F;18048
2020/2021;Genova;1001;M;14161
2020/2021;Insubria;1202;F;6382
2020/2021;Insubria;1202;M;5344
2020/2021;L'Aquila;6601;F;8707
2020/2021;L'Aquila;6601;M;7200
2020/2021;Macerata;4301;F;7421
2020/2021;Macerata;4301;M;2601
2020/2021;Marche;4201;F;6783
2020/2021;Marche;4201;M;8237
2020/2021;Messina;8301;F;14655
2020/2021;Messina;8301;M;8888
2020/2021;Milano;1501;F;36456
2020/2021;Milano;1501;M;24830
2020/2021;Milano Bicocca;1509;F;21176
